title,company,location,posted_time,description,link
Sr Data Engineer with...,Amtex Systems Inc.,"New York, NY",2 days ago,Sr Data Engineer Full Time NYC Key Responsibilities: Lead implementation of data strategy using enterprise data lake solution. Spark...,https://www.dice.com/jobs/detail/Sr-Data-Engineer-with-Python%26%2347Spark%26%2347ETL%26%2347AWS-Amtex-Systems-Inc.-New-York-NY-10001/10124954/12345
Java / Python Developer for Quant...,Gambit Technologies Inc,"New York, NY",1 day ago,"An elite quant hedge fund is searching for a Java / Python developers to build a Greenfield, Portfolio Rebalancing Platform",https://www.dice.com/jobs/detail/Java-%26%2347-Python-Developer-for-Quant-Research-Gambit-Technologies-Inc-New-York-NY-10001/10116662/CR342395628
Senior Python Engineer,CyberCoders,"New York, NY",1 day ago,"Minimum Required Skills: Python, Flask, Django, Docker, RabbitMQ, Postgres If you are a Senior Python Engineer with 3+ years of",https://www.dice.com/jobs/detail/Senior-Python-Engineer-CyberCoders-New-York-NY-10001/cybercod/MS8%26%23451563779100
Sr. Software Engineer (Python),CyberCoders,"New York City, NY",1 day ago,"Minimum Required Skills: Python, Docker, AWS, Devops, Orchestration, REACT, JavaScript If you are a Sr. Software Engineer with Python...",https://www.dice.com/jobs/detail/Sr.-Software-Engineer-%28Python%29-CyberCoders-New-York-City-NY-10001/cybercod/JS25%26%23451549641112
Python Engineer,CyberCoders,"New York City, NY",1 day ago,"Minimum Required Skills: Python, JavaScript, GIT Are you a software engineer who wants to also be a Marvel character vigilante?!",https://www.dice.com/jobs/detail/Python-Engineer-CyberCoders-New-York-City-NY-10001/cybercod/KW2%26%23451541033118
Python STUD - Create a Uniqe and...,Tech-Nique Partners,"New York, NY",3 weeks ago,YOU WONT BE THE SMARTEST GUY IN THE ROOM IN THIS COMPANY: Cutting edge tech company that is disrupting BioPharma,https://www.dice.com/jobs/detail/Python-STUD-%26%2345-Create-a-Uniqe-and-Different-take-on-DevOPS-%26%2345-Tech%26%2345Nique-Partners-New-York-NY-10001/90633158/6278804
Python Developer,Eclaro,"New York, NY",3 weeks ago,Python Developer Job Number: 19-06177 Grab the opportunity to achieve your full potential! Eclaro is looking for a Python Developer,https://www.dice.com/jobs/detail/Python-Developer-Eclaro-New-York-NY-10036/ndi/19%26%234506177
Python Developer,Synechron Inc.,"New York City, NY",3 weeks ago,We Have an Urgent requirement for Python Developer New York City If you are interested for this position please share,https://www.dice.com/jobs/detail/Python-Developer-Synechron-Inc.-New-York-City-NY-10001/10111699/6340169
Lead Python Engineer,Shain Associates,"Nyc, NY",1 week ago,Seeking a Principal Data Engineer to lead ongoing development of the Data Cloud (SDC). The candidate will demonstrate a successful,https://www.dice.com/jobs/detail/Lead-Python-Engineer-Shain-Associates-Nyc-NY-10001/10145990/5981082
Python Developer ( NO THIRD...,JK Partners Inc,"Ny, NY",1 week ago,The optimal candidate will have a minimum of 4 years’ hands-on development experience with an excellent technical background....,https://www.dice.com/jobs/detail/Python-Developer-%28-NO-THIRD-PARTIES%29-JK-Partners-Inc-Ny-NY-10001/10379290/5920798
VP Engineering / eCommerce / Python,Cypress Group,"New York, NY",1 week ago,My client is a very well-funded stealth-mode startup building a novel high-traffic consumer-facing platform that will transform an...,https://www.dice.com/jobs/detail/VP-Engineering-%26%2347-eCommerce-%26%2347-Python-Cypress-Group-New-York-NY-10001/10121728/6336975
"Software Engineer, Python",Cypress Group,"New York, NY",1 week ago,Well-knownindustry leader is changing the way they use technology to leverage their business. Innovation and best-of-breed practices...,https://www.dice.com/jobs/detail/Software-Engineer%2C-Python-Cypress-Group-New-York-NY-10018/10121728/JR%26%2345PY%26%234509
"Quant Research Lead - Trading,...",The Forum Group,"New York, NY",6 days ago,Highly profitable Trading/Market Making firm in business for years seeks a Quantitative Research Lead with strong Data Analysis and...,https://www.dice.com/jobs/detail/Quant-Research-Lead-%26%2345-Trading%2C-Python-Data-Analytics-The-Forum-Group-New-York-NY-10001/forumper/NGF500
Java Python Developer,Infinity Consulting Solutions,"Newark, NJ",1 day ago,Job Description - Java Python Developer What You Will Do: Build and maintain new and existing applications in preparation for,https://www.dice.com/jobs/detail/Java-Python-Developer-Infinity-Consulting-Solutions-Newark-NJ-07101/10143403/19%26%234507304
Expert SQL & Python / Tableau,Solomon Page,"New York, NY",13 minutes ago,"The Database Engineer is responsible for participating in the design, implementation, and maintenance of reporting and database...",https://www.dice.com/jobs/detail/Expert-SQL-%26-Python-%26%2347-Tableau-Solomon-Page-New-York-NY-10001/solopft/129999
Python Scala ElasticSearch Lead,Velocity Technology Resources,"Phoenix, NY",14 minutes ago,Velocity Technology is currently seeking an experienced Python/Scala ElasticSearch developer/architect/engineer for our FINTEC client...,https://www.dice.com/jobs/detail/Python-Scala-ElasticSearch-Lead-Velocity-Technology-Resources-Phoenix-NY-10010/80108439/19%26%234500120
Data Engineer / Python / Spark,Cypress Group,"New York, NY",1 week ago,My client is an innovative leader in the cybersecurity industry. Their systems consume and process huge volumes (multi-terabytes) of...,https://www.dice.com/jobs/detail/Data-Engineer-%26%2347-Python-%26%2347-Spark-Cypress-Group-New-York-NY-10018/10121728/JR%26%2345data%26%234508
Python Airflow developer,Velocity Technology Resources,"New York, NY",moments ago,"Our client, a global services firm located in midtown NYC seeks a Python and Airflow developer to join their growing",https://www.dice.com/jobs/detail/Python-Airflow-developer-Velocity-Technology-Resources-New-York-NY-10005/80108439/19%26%234500116
Python Developer,Kforce Technology Staffing,"Greenwich, CT",1 day ago,"RESPONSIBILITIES: Kforce has a client that is seeking a Python Developer in Greenwich, Connecticut (CT). Responsibilities: * Convert...",https://www.dice.com/jobs/detail/Python-Developer-Kforce-Technology-Staffing-Greenwich-CT-06830/kforcecx/ITAQG1857604
TWO Lead Software Engineers...,DBA Web Technologies,"New York, NY",moments ago,"TWO Lead Software Engineers (Python, React, MVC Framework, JavaScript, Django, GraphQL, Scala, Spark, Kafka, ElasticSearch) in NYC...",https://www.dice.com/jobs/detail/TWO-Lead-Software-Engineers-%28Python%2C-React%2C-MVC-Framework%2C-JavaScript%2C-Django%2C-GraphQL%2C-Scala%2C-Spark%2C-Kafka%2C-ElasticSearch%29-in-NYC-DBA-Web-Technologies-New-York-NY-10001/10216777/B_React_Django
Senior QA Automation Engineer -...,Kforce Technology Staffing,"New York, NY",1 day ago,"RESPONSIBILITIES: Kforce is working with one of the fastest growing technology firms located in New York, New York (NY). This",https://www.dice.com/jobs/detail/Senior-QA-Automation-Engineer-%26%2345-Ruby%2C-Java%2C-Python-Kforce-Technology-Staffing-New-York-NY-10016/kforcecx/ITAQG1860339
"Manager, Software Engineer -...",Kforce Technology Staffing,"New York, NY",1 day ago,"RESPONSIBILITIES: Kforce has a New York, New York (NY) client seeking a Manager, Software Engineer - Startup - Python. Summary:",https://www.dice.com/jobs/detail/Manager%2C-Software-Engineer-%26%2345-Startup-%26%2345-Python-Kforce-Technology-Staffing-New-York-NY-10003/kforcecx/ITAQG1849613
"Data Engineer - AWS, Python",Kforce Technology Staffing,"New York, NY",1 day ago,"RESPONSIBILITIES: Kforce is working with a growing technology firm (a startup within a larger organization), and they are searching...",https://www.dice.com/jobs/detail/Data-Engineer-%26%2345-AWS%2C-Python-Kforce-Technology-Staffing-New-York-NY-10005/kforcecx/ITAQG1831541
Python Django Developer,Chenoa Information Services,"Brooklyn,, NY",12 minutes ago,"Chenoa direct cleint is looking for a Python Django Developer for their Brooklyn, NY location. Role: Python Django Developer Location:",https://www.dice.com/jobs/detail/Python-Django-Developer-Chenoa-Information-Services-Brooklyn%2C-NY-11201/chenj001/19%26%234500268
Python Developer,Kellton Tech,"Nyc, NY",2 days ago,"Kellton Tech is a full-service software development company, offering end-to-end IT solutions, strategic technology consulting and...",https://www.dice.com/jobs/detail/Python-Developer-Kellton-Tech-Nyc-NY-10001/cyberwsi/6348258
Sr. Python Developer,Brooksource,"Manhattan, NY",1 hour ago,"Sr. Python Engineer New York, New York Long term contract-to-hire We are looking for a passionate Python Engineer to join",https://www.dice.com/jobs/detail/Sr.-Python-Developer-Brooksource-Manhattan-NY-10024/10110651/JO190997574%26%2345608
Python Developer (Django),New York Technology Partners,"Brooklyn, NY",2 weeks ago,"Python Django Developer Brooklyn, NY Requirements Excellent Python coding skills and understanding of Python best practices (PEP8) 4-6...",https://www.dice.com/jobs/detail/Python-Developer-%28Django%29-New-York-Technology-Partners-Brooklyn-NY-11201/10119106/A_Python
Python Developer,Norgate Technology Inc,"New York, NY",5 days ago,*******Sponsorship is not available for this position************ *****no third party firms********* Employer will not pay for...,https://www.dice.com/jobs/detail/Python-Developer-Norgate-Technology-Inc-New-York-NY-10005/norny001/0426717%26%23454
Perl/Python Developer with SQL...,ISOFT,"New York, NY",2 weeks ago,"Title: Python/Perl Developer with SQL Skills Location: New York, NY Contract: C2C, W2, 1099 Please share the profiles at Jobs",https://www.dice.com/jobs/detail/Perl%26%2347Python-Developer-with-SQL-Skills-ISOFT-New-York-NY-75201/91074842/1134
Python Developer,Eclaro,"New York, NY",6 days ago,"Hi, My name is Eric Jones. I'm a recruiter with a staffing firm called Eclaro. Our client in New York,",https://www.dice.com/jobs/detail/Python-Developer-Eclaro-New-York-NY-10001/ndi/EL%26%2345NYCPYTDE
Junior Python Developer,Perennial Resources International,"Orangeburg, NY",23 hours ago,Junior Python Developer My name is Bill Stevens and I have a new twelve month plus Junior Python Developer position,https://www.dice.com/jobs/detail/Junior-Python-Developer-Perennial-Resources-International-Orangeburg-NY-10962/10124617/PRI%26%2345JRPYTHON%26%2345O
UI Python Developer - Real-time...,Huxley Banking & Financial Services,"Manhattan, NY",1 hour ago,UI Python Developer - Real-time Trading Platform @ Financial Technology Firm - Manhattan - Contract Huxley Associates are working on,https://www.dice.com/jobs/detail/UI-Python-Developer-%26%2345-Real%26%2345time-Trading-Platform-Huxley-Banking-%26-Financial-Services-Manhattan-NY-10024/10208648/HA33196078%26%2345893
Junior Python Developer,TekTalent Inc,"New York, NY",2 weeks ago,"Requirement: Junior Python Developer Work Location : CA, TX, NJ, OH Qualification: Candidates with Bachelor / master’s degree...",https://www.dice.com/jobs/detail/Junior-Python-Developer-TekTalent-Inc-New-York-NY-10001/91018033/020119
Python Analytics Consultant,System Edge (USA) L.L.C.,"Jersey City, NJ",1 week ago,"Hi All, We are looking for a Python Analytics Consultant at NY & NJ Location for a long term contract",https://www.dice.com/jobs/detail/Python-Analytics-Consultant-System-Edge-%28USA%29-L.L.C.-Jersey-City-NJ-07097/10106959/6336481
Python Engineer,InfoPeople Corp,"New Hyde Park, NY",2 weeks ago,"InfoPeople Corporation is currently seeking a Python Engineer with our direct client in their NYC , NY location. This is",https://www.dice.com/jobs/detail/Python-Engineer-InfoPeople-Corp-New-Hyde-Park-NY-11040/10186340/6318629
Senior Python Developer,Kivish Infotech Corp,"New York City, NY",2 weeks ago,"Position: Senior Python Developer Location:New York City, NY Duration:Long Term Experience : 8+ years Education : Bachelor's or...",https://www.dice.com/jobs/detail/Senior-Python-Developer-Kivish-Infotech-Corp-New-York-City-NY-10001/91027425/6341665
Python Developer,"Pyramid Consulting, Inc.","New York, NY",6 days ago,Immediate need for a talented Python Developer with experience in the Insurance Industry. This is a 6+ Months Contract opportunity,https://www.dice.com/jobs/detail/Python-Developer-Pyramid-Consulting%2C-Inc.-New-York-NY-10001/pyrmid/19%26%234553863
Python Lead,"Lorven Technologies, Inc.","New York, NY",2 days ago,"Our client is looking for Python Lead in NYC, NY . Please find the detailed requirement listed at below Role:",https://www.dice.com/jobs/detail/Python-Lead-Lorven-Technologies%2C-Inc.-New-York-NY-10001/10120137/6190709
Software Engineer (Python),DTG Consulting Solutions Inc.,"New York, NY",2 days ago,Job Description Fortune 100 company is looking for a Back-end Software Engineer for design and execution of the company s,https://www.dice.com/jobs/detail/Software-Engineer-%28Python%29-DTG-Consulting-Solutions-Inc.-New-York-NY-10001/datacny/6338825
Python - Big data,OneAPPS,"Bethpage, NY",3 weeks ago,"Hi, At OneAPPS we are hiring Python - Big data on contract for one of our client projects. Employment Mode:",https://www.dice.com/jobs/detail/Python-%26%2345-Big-data-OneAPPS-Bethpage-NY-11714/10380629/6338600
Python Developer,"ValueLabs, Inc.","New York, NY",2 weeks ago,5-8 years exp with Python Developer and T-SQL(complex queries) Strong communication skills Ability to write complex SQL statements...,https://www.dice.com/jobs/detail/Python-Developer-ValueLabs%2C-Inc.-New-York-NY-10001/10493205/6341248
Python Developer,"PSR Associates, Inc.","New York, NY",1 week ago,"2-3 years of experience in Python & PySpark, Informatica ETL, SQL, SQL Server, data validation for large scale databases,...",https://www.dice.com/jobs/detail/Python-Developer-PSR-Associates%2C-Inc.-New-York-NY-10001/10115826/%2312905482
Python Developer,"Collaborate Solutions, Inc.","New York, NY",6 days ago,Greetings from Collaborate Solutions Inc !! Collaborate Solutions is an Software Development & IT Consulting company with having...,https://www.dice.com/jobs/detail/Python-Developer-Collaborate-Solutions%2C-Inc.-New-York-NY-10001/10406960/6307929
Python Developer with SQL,Auritas,"New York, NY",3 days ago,"Data Engineer/Python Developer 12 months New York, NY Must have 5+ years of development of Python Must have strong experience",https://www.dice.com/jobs/detail/Python-Developer-with-SQL-Auritas-New-York-NY-10001/70000157/6335371
python developer,Generic Solutions Inc,"New York, NY",3 days ago,Job Title: Python Developer Duration: 12 Months Location: New York Role Create responsive web applications using Django / Python...,https://www.dice.com/jobs/detail/python-developer-Generic-Solutions-Inc-New-York-NY-10001/10222006/6348100
.NET Full Stack Web Developer with...,Wallstreet Consulting,"New York City, NY",1 hour ago,".NET Full Stack Web Developer with Angular,Python new york city interview type: In-Person Developer (C, C#, C++, .Net, Web) 5",https://www.dice.com/jobs/detail/.NET-Full-Stack-Web-Developer-with-Angular%2CPython-Wallstreet-Consulting-New-York-City-NY-10259/91017621/2019%26%2345199
Python Developer,Primesoft Consulting Services Inc,"Jersey City, NJ",2 days ago,"Job Role: Python Developer Location : Multiple locations ( NJ, NY and CA) Job Description : 5+ years of hands",https://www.dice.com/jobs/detail/Python-Developer-Primesoft-Consulting-Services-Inc-Jersey-City-NJ-07097/90838361/1213
Senior Python Developer,Cygnus Professionals,"New York, NY",2 days ago,Skill Sets: Python Backend service (flask or Django) - has created and maintained API endpoints SQL Database Git Responsibilities:...,https://www.dice.com/jobs/detail/Senior-Python-Developer-Cygnus-Professionals-New-York-NY-10001/10426508/srpythondevelo
Web/Mobile Developer(iOS...,BrickLogix,"Jersey City, NJ",3 weeks ago,"Email resume to HR at bricklogix.com Role: Web/Mobile Developer Location: 2 Montgomery Street, Jersey City NJ with possible meetings...",https://www.dice.com/jobs/detail/Web%26%2347Mobile-Developer%28iOS-frameworks-Core-Data%2C-Core-Animation%2C-Core-Graphics%2C-Core-Text%2C-Reactive-Native-Development%2C-UX-design-changes%2C-HTML5%2C-CSS-and-JavaScript%2C-PHP%2C-Python%2C-MySQL%2C-Adobe-Creative-Suite-%28Photoshop%2C-Illustrator%2C-XD%29%2C-WordPress%2C-Bootstrap%29-BrickLogix-Jersey-City-NJ-07097/10409520/6338433
Python Developer - OO Python...,StaffRight Associates,"New York, NY",2 days ago,*** This position is not eligible for any work visa sponsorship. Applicants must possess unrestricted US work authorization. ***...,https://www.dice.com/jobs/detail/Python-Developer-%26%2345-OO-Python-Programmer-StaffRight-Associates-New-York-NY-10001/90939179/28000
Python Engineer - DevOps Cloud,"Brains Workgroup, Inc.","New York, NY",2 days ago,"One of our DIRECT clients, major Hedge Fund in Manhattan, NY looking for Python Engineer with DevOps and AWS skills.",https://www.dice.com/jobs/detail/Python-Engineer-%26%2345-DevOps-Cloud-Brains-Workgroup%2C-Inc.-New-York-NY-10001/RTL499109/6129825
"BA,QA,NET,JAVA,Network engineer...",MMandRBconsulting INC,"New York, NY",8 months ago,Greetings of the day! This is John from MM&RB consulting Inc. MM&RB consulting is a highly recognized provider of professional,https://www.dice.com/jobs/detail/BA%2CQA%2CNET%2CJAVA%2CNetwork-engineer-%2CUI%2CPython-developer-MMandRBconsulting-INC-New-York-NY-10001/RTX1ce26b/5947269
"Python Developer-$10,000...",Access Staffing,"Jersey City, NJ",3 weeks ago,"Our direct client, a global financial services company is seeking a Python Developer for a full time career opportunity. Required",https://www.dice.com/jobs/detail/Python-Developer%26%2345%2410%2C000-relocation-assistance-%21%21%26%2345PD-Access-Staffing-Jersey-City-NJ-07097/accperny/6320870
Full-Stack Engineer (Python) -...,Gambit Technologies Inc,"New York, NY",1 day ago,Summary: An established NYC startup that is leveraging open source technologies and taking a data driven approach to humanizing...,https://www.dice.com/jobs/detail/Full%26%2345Stack-Engineer-%28Python%29-%26%2345-Health-Tech-Startup-%28%24170%26%2345250K%2B%29-Gambit-Technologies-Inc-New-York-NY-10001/10116662/NT95685972
"Python Developer Manhattan, NY --...",Cypress Group,"New York, NY",1 week ago,"Python Developer – Manhattan, NY -- $90K - $120K A digital agency that specializes in creating exhibits is looking to",https://www.dice.com/jobs/detail/Python-Developer-Manhattan%2C-NY-%26%2345%26%2345-%2490K-%26%2345-%24120K-Cypress-Group-New-York-NY-10038/10121728/KS%26%234591917%26%2345CG
Site Reliability Engineer with...,"Archer I.T., LLC","New York, NY",1 week ago,A Top financial firm in NYC is looking for a Senior Site Reliability Engineer. Need to strong with hands-on Object,https://www.dice.com/jobs/detail/Site-Reliability-Engineer-with-Strong-OOD-%28Python%2C-GO%2C-Java-or-C%2B%2B%29-and-Strong-Unix-%26%2347-Linux%21-200%26%2345450k%21-Archer-I.T.%2C-LLC-New-York-NY-10001/10340096/6117651
Sr Data Engineer || Python ||...,Amtex Systems Inc.,"New York, NY",3 days ago,Key Responsibilities: Lead implementation of data strategy using enterprise data lake solution. Spark and Python expert. Hands-on...,https://www.dice.com/jobs/detail/Sr-Data-Engineer-%7C%7C-Python-%7C%7C-Spark%26%2347PySpark-%7C%7C-Financial-Clients-%7C%7C-Locals-%7C%7C-F2F-Amtex-Systems-Inc.-New-York-NY-10001/10124954/SDE0001
Entry-Intermediate level Software...,ConsultAdd,"New York, NY",2 weeks ago,Requirements of the Python Developer Front end experience with Angular as well as React and Django. Back end API services,https://www.dice.com/jobs/detail/Entry%26%2345Intermediate-level-Software-Developer-Python%26%2347Java-ConsultAdd-New-York-NY-10001/10504871/123123
Lead Software and Data Engineer -...,Botsford Associates LLC,"New York, NY",1 week ago,"A prestigious, multi-billion dollar hedge fund in midtown is looking for a senior tech lead to build out a state",https://www.dice.com/jobs/detail/Lead-Software-and-Data-Engineer-%26%2345-Python%2C-AWS%2C-Big-Data-to-support-Data-Science-at-Major-Hedge-Fund-%26%2345-%24350K%26%2347year-%2B-Botsford-Associates-LLC-New-York-NY-10001/10364413/6345786
QA Automaton Test Engineer...,CV Project LLC,"New York, NY",6 days ago,QA Automation Test Engineer We are looking for a 2 Test Consultants for one of NYC Largest Government clients to,https://www.dice.com/jobs/detail/QA-Automaton-Test-Engineer-%28Python%2C-White-Box-Testing%2C-UI-Automation%29-CV-Project-LLC-New-York-NY-10001/90767726/6260936
My SQL DBA/ Python Engineer,"NetSource, Inc.","Edison, NJ",2 days ago,Please note that this is a 12 months contract position. Job description: The primary job responsibility is to migrate existing,https://www.dice.com/jobs/detail/My-SQL-DBA%26%2347-Python-Engineer-NetSource%2C-Inc.-Edison-NJ-08817/NETSO/4299
